scenario,year,net_worth,taxes,withdrawal_taxes,early_withdrawal_penalty,withdrawn:joint-brokerage,withdrawn:alex-401k,withdrawn:jordan-403b,withdrawn:jordan-roth-ira,withdrawn:alex-roth-ira,withdrawn:alex-hsa,withdrawn:emergency-savings
base-plan,2065,13850329.187170,101774.915207,0.000000,0.000000,0.000000,271026.055699,114217.030268,0.000000,0.000000,0.000000,0.000000
base-plan,2066,14563435.030780,107550.257863,0.000000,0.000000,0.000000,287306.440295,120346.201655,0.000000,0.000000,0.000000,0.000000
base-plan,2067,15340919.125083,96965.591214,0.000000,0.000000,0.000000,302091.187770,126719.799835,0.000000,0.000000,0.000000,0.000000
base-plan,2068,16134736.457373,131867.405047,0.000000,0.000000,0.000000,319713.173723,133332.109390,0.000000,0.000000,0.000000,0.000000
base-plan,2069,16974992.900467,137866.002818,0.000000,0.000000,0.000000,335240.227447,139150.060849,0.000000,0.000000,0.000000,0.000000
base-plan,2070,17864584.170957,144268.984043,0.000000,0.000000,0.000000,350981.942475,146171.206168,0.000000,0.000000,0.000000,0.000000
base-plan,2071,18807342.825481,150396.063961,0.000000,0.000000,0.000000,366824.877379,152129.480006,0.000000,0.000000,0.000000,0.000000
base-plan,2072,19896410.565470,141010.279691,0.000000,0.000000,0.000000,382623.770612,158087.664162,0.000000,0.000000,0.000000,0.000000
retire-two-years-early,2026,895584.300000,39232.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
retire-two-years-early,2027,1022682.520600,40027.576000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
retire-two-years-early,2028,1161886.588130,40813.950800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
retire-two-years-early,2029,1324640.320241,41616.323769,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
retire-two-years-early,2030,1502394.667061,42429.198597,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
retire-two-years-early,2031,1697070.273736,43649.162029,395.578924,103.464952,262.477168,667.177841,367.471679,149.789795,29.987206,57.854462,39.109789
retire-two-years-early,2032,1908850.955525,44687.790734,133.424976,34.769864,89.291017,225.855673,121.842971,51.429688,12.640701,20.162892,12.014879
retire-two-years-early,2033,2138803.079400,46012.958113,126.208904,32.772960,84.978942,214.304386,113.425210,49.454592,14.124801,19.597182,10.383500
retire-two-years-early,2034,2388357.947164,47356.182481,353.327652,91.436632,238.895839,601.557707,312.808610,140.571564,45.068909,56.757295,26.632371
retire-two-years-early,2035,2659307.076155,48483.664239,60.770267,15.675079,41.196635,103.705219,53.045575,24.480826,8.580673,10.041276,4.207144
retire-two-years-early,2036,2953029.744319,49908.952693,33.723829,8.671429,22.893323,57.668263,29.046023,13.744930,5.184192,5.707604,2.149260
retire-two-years-early,2037,3270357.780217,51382.569815,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
retire-two-years-early,2038,3613835.426696,52922.990505,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
retire-two-years-early,2039,3985644.128210,54512.211968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
retire-two-years-early,2040,4187979.169972,48675.078902,24705.689781,2624.274783,21284.950542,53985.735916,26242.747832,13480.471759,5857.210771,5585.087674,1490.282985
retire-two-years-early,2041,4337045.342870,44252.599480,26748.462744,596.838935,28713.423613,72826.822001,35810.336114,18727.652284,7901.384301,7478.220785,1907.536177
retire-two-years-early,2042,4443689.132810,39841.790792,29223.877714,0.000000,35444.002375,89897.815278,44457.846003,23566.996629,9753.510682,9162.458423,2234.201142
retire-two-years-early,2043,4449269.935241,30512.552391,29682.568132,0.000000,48883.686902,123985.339146,60859.106101,32503.148833,13451.854487,12542.646112,2923.715929
retire-two-years-early,2044,4488787.339721,24097.901601,23269.730527,0.000000,43830.666421,111169.193356,54162.118675,29143.355675,12061.360019,11162.442743,2487.373491
retire-two-years-early,2045,4535939.177161,23446.691351,22619.985744,0.000000,43215.306431,109608.435118,53004.302338,28734.197966,11892.024734,10923.824703,2326.977757
retire-two-years-early,2046,4577719.815068,24150.085330,23324.733352,0.000000,44704.006254,113384.274546,54422.178953,29724.046216,12301.686416,11216.039390,2283.982583
retire-two-years-early,2047,4613471.153516,24872.471282,24048.462168,0.000000,46239.261930,117278.195152,55872.271661,30744.849819,12724.159377,11514.893593,2241.552646
retire-two-years-early,2048,4665927.739601,25466.168274,24643.491545,0.000000,44159.544804,112003.338661,52962.195399,29362.029505,12151.861051,10915.146751,2031.207754
retire-two-years-early,2049,4844867.360587,25351.729014,24440.595547,0.000000,25073.238099,63594.097055,29847.486965,16671.393696,6899.674959,6151.363211,1094.288638
retire-two-years-early,2050,5061371.466819,24789.517783,22764.136022,0.000000,21296.306926,54014.539495,25162.720804,14160.082381,5860.335831,5185.864902,881.896197
retire-two-years-early,2051,5288958.518351,25670.249121,23617.771071,0.000000,22096.430078,56043.918755,25913.816017,14692.090573,6080.514399,5340.660495,868.214420
retire-two-years-early,2052,5528302.602800,26573.550791,24494.740830,0.000000,22921.299191,58136.062027,26681.143703,15240.552549,6307.502582,5498.801490,854.546732
retire-two-years-early,2053,5780123.467219,27499.858098,25395.279026,0.000000,23771.639393,60292.808479,27465.044095,15805.950454,6541.499921,5660.358007,840.905956
retire-two-years-early,2054,6034268.921588,38415.137367,10249.102156,0.000000,9340.616354,123865.561138,10711.558327,6210.649458,2570.358743,2207.579013,313.512988
retire-two-years-early,2055,6301085.889509,39722.615168,9933.038505,0.000000,9398.253534,129136.580153,10697.449232,6248.972873,2586.219391,2204.671225,299.308373
retire-two-years-early,2056,6576594.939975,45733.307124,1210.877403,0.000000,1161.294881,115829.163356,52359.948820,772.154122,319.566112,270.392813,35.091823
retire-two-years-early,2057,6865761.437005,47602.794148,302.539571,0.000000,301.442189,121695.449236,54548.946693,200.431288,82.951118,69.664676,8.642893
retire-two-years-early,2058,7168645.306726,50238.604422,0.000000,0.000000,0.000000,129483.777875,57352.407224,0.000000,0.000000,0.000000,0.000000
retire-two-years-early,2059,7485529.274992,53440.127355,0.000000,0.000000,0.000000,138505.976754,60916.859333,0.000000,0.000000,0.000000,0.000000
retire-two-years-early,2060,7817308.598502,56655.006470,0.000000,0.000000,0.000000,147358.936093,64690.240146,0.000000,0.000000,0.000000,0.000000
retire-two-years-early,2061,8164522.124180,60275.211761,0.000000,0.000000,0.000000,157554.581401,68682.780858,0.000000,0.000000,0.000000,0.000000
retire-two-years-early,2062,8528302.062960,63781.633154,0.000000,0.000000,0.000000,167457.376418,72529.016586,0.000000,0.000000,0.000000,0.000000
retire-two-years-early,2063,8909135.622513,67853.882885,0.000000,0.000000,0.000000,178945.151795,76970.144694,0.000000,0.000000,0.000000,0.000000
retire-two-years-early,2064,9308350.159631,71739.233072,0.000000,0.000000,0.000000,189961.462702,81199.154056,0.000000,0.000000,0.000000,0.000000
retire-two-years-early,2065,9726823.196395,75950.130067,0.000000,0.000000,0.000000,201521.617505,86123.786084,0.000000,0.000000,0.000000,0.000000
retire-two-years-early,2066,10165774.044812,80224.074053,0.000000,0.000000,0.000000,213626.909112,90745.403755,0.000000,0.000000,0.000000,0.000000
retire-two-years-early,2067,10650169.012521,68223.371963,0.000000,0.000000,0.000000,224620.118668,95551.328098,0.000000,0.000000,0.000000,0.000000
retire-two-years-early,2068,11133232.640682,99201.092715,0.000000,0.000000,0.000000,237722.958924,100537.249483,0.000000,0.000000,0.000000,0.000000
retire-two-years-early,2069,11641176.131515,103661.077951,0.000000,0.000000,0.000000,249268.110822,104924.196033,0.000000,0.000000,0.000000,0.000000
retire-two-years-early,2070,12175377.265306,108425.738041,0.000000,0.000000,0.000000,260972.874287,110218.394420,0.000000,0.000000,0.000000,0.000000
retire-two-years-early,2071,12737859.302089,112981.342837,0.000000,0.000000,0.000000,272752.899862,114711.149137,0.000000,0.000000,0.000000,0.000000
retire-two-years-early,2072,13419886.926352,102027.269306,0.000000,0.000000,0.000000,284500.178223,119203.836230,0.000000,0.000000,0.000000,0.000000
claim-social-security-at-62,2026,895584.300000,39232.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
claim-social-security-at-62,2027,1022682.520600,40027.576000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
claim-social-security-at-62,2028,1161886.588130,40813.950800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
claim-social-security-at-62,2029,1324640.320241,41616.323769,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
claim-social-security-at-62,2030,1502394.667061,42429.198597,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
claim-social-security-at-62,2031,1697070.273736,43649.162029,395.578924,103.464952,262.477168,667.177841,367.471679,149.789795,29.987206,57.854462,39.109789
claim-social-security-at-62,2032,1908850.955525,44687.790734,133.424976,34.769864,89.291017,225.855673,121.842971,51.429688,12.640701,20.162892,12.014879
claim-social-security-at-62,2033,2138803.079400,46012.958113,126.208904,32.772960,84.978942,214.304386,113.425210,49.454592,14.124801,19.597182,10.383500
claim-social-security-at-62,2034,2388357.947164,47356.182481,353.327652,91.436632,238.895839,601.557707,312.808610,140.571564,45.068909,56.757295,26.632371
claim-social-security-at-62,2035,2659307.076155,48483.664239,60.770267,15.675079,41.196635,103.705219,53.045575,24.480826,8.580673,10.041276,4.207144
claim-social-security-at-62,2036,2953029.744319,49908.952693,33.723829,8.671429,22.893323,57.668263,29.046023,13.744930,5.184192,5.707604,2.149260
claim-social-security-at-62,2037,3270357.780217,51382.569815,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
claim-social-security-at-62,2038,3613835.426696,52922.990505,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
claim-social-security-at-62,2039,3985644.128210,54512.211968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
claim-social-security-at-62,2040,4386622.339182,56151.327310,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
claim-social-security-at-62,2041,4820249.633758,64267.537358,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
claim-social-security-at-62,2042,5132314.625124,48441.687046,15757.612886,0.000000,14170.323846,36173.485493,17141.121855,9113.245134,4247.865092,3816.910327,858.299099
claim-social-security-at-62,2043,5407808.128332,46286.431771,21422.497270,0.000000,20032.768624,51138.920542,24460.087481,13207.779163,6005.261380,5355.858709,1151.308109
claim-social-security-at-62,2044,5720295.666499,34784.531053,14334.376916,0.000000,15904.026617,40599.218647,19496.803654,10655.079211,4767.580489,4220.376397,867.260147
claim-social-security-at-62,2045,5957794.051344,22728.489118,21894.306256,0.000000,27368.543942,69865.420017,33301.513512,18335.859881,8204.320783,7208.613479,1416.073176
claim-social-security-at-62,2046,6206822.215098,23397.933140,22564.152765,0.000000,28340.695495,72347.093019,34227.780512,18987.163608,8495.744514,7409.117903,1391.349431
claim-social-security-at-62,2047,6468050.978667,24086.068116,23252.676522,0.000000,29343.334420,74906.593070,35174.963295,19658.892687,8796.307503,7614.149863,1366.868961
claim-social-security-at-62,2048,6742190.768731,24797.632729,23964.616147,0.000000,30378.105144,77548.118004,36144.383854,20352.148823,9106.502703,7823.995523,1342.671612
claim-social-security-at-62,2049,7030006.390933,25526.185454,24693.530092,0.000000,31444.821896,80271.193594,37135.154855,21066.807554,9426.274424,8038.462808,1318.712044
claim-social-security-at-62,2050,7332313.049428,26272.591055,25440.283052,0.000000,32544.536518,83078.504941,38147.857015,21803.573575,9755.937981,8257.677423,1295.002575
claim-social-security-at-62,2051,7649972.670872,27044.465502,26212.490941,0.000000,33679.459560,85975.695058,39184.393071,22563.927868,10096.156033,8482.051242,1271.596613
claim-social-security-at-62,2052,7983910.997848,27836.562061,27004.907014,0.000000,34849.683690,88963.000503,40244.154367,23347.932517,10446.956359,8711.452515,1248.460472
claim-social-security-at-62,2053,8335116.089877,28649.264275,27817.914772,0.000000,36056.269680,92043.129178,41327.650309,24156.298197,10808.656950,8945.991508,1225.599166
claim-social-security-at-62,2054,8690086.997143,42746.771513,13318.080580,0.000000,15273.160857,183064.836983,17375.799703,10232.423690,4578.464653,3761.253191,492.593069
claim-social-security-at-62,2055,9062409.105088,44248.838116,13342.360010,0.000000,15447.377782,190462.555077,17443.217614,10349.142254,4630.689994,3775.846812,472.722035
claim-social-security-at-62,2056,9446289.042985,52502.987968,4188.739522,0.000000,4017.082860,171657.672598,76664.188001,2691.289263,1204.208615,974.599858,116.641629
claim-social-security-at-62,2057,9848824.296086,54761.783529,2970.803290,0.000000,2959.793009,179947.545355,79697.324329,1982.946188,887.262813,712.742817,81.544718
claim-social-security-at-62,2058,10271036.598746,57158.619376,1688.007158,0.000000,1749.233068,188991.242801,82650.629134,1171.918115,524.370944,418.095163,45.727123
claim-social-security-at-62,2059,10713950.145395,59758.798340,216.186095,0.000000,233.329381,198605.640896,86116.793800,156.321609,69.945595,55.354489,5.787451
claim-social-security-at-62,2060,11177480.526465,63675.176205,0.000000,0.000000,0.000000,210793.659924,91212.504995,0.000000,0.000000,0.000000,0.000000
claim-social-security-at-62,2061,11662098.409083,68383.675044,0.000000,0.000000,0.000000,225378.302340,96841.942122,0.000000,0.000000,0.000000,0.000000
claim-social-security-at-62,2062,12169344.603218,72914.183049,0.000000,0.000000,0.000000,239544.028970,102265.090881,0.000000,0.000000,0.000000,0.000000
claim-social-security-at-62,2063,12699829.915856,78239.492577,0.000000,0.000000,0.000000,255977.034529,108527.031149,0.000000,0.000000,0.000000,0.000000
claim-social-security-at-62,2064,13255357.151057,83285.353790,0.000000,0.000000,0.000000,271735.620717,114489.886391,0.000000,0.000000,0.000000,0.000000
claim-social-security-at-62,2065,13837085.607462,88777.369505,0.000000,0.000000,0.000000,288272.163425,121433.561704,0.000000,0.000000,0.000000,0.000000
claim-social-security-at-62,2066,14446650.705907,94344.602362,0.000000,0.000000,0.000000,305588.512131,127949.990208,0.000000,0.000000,0.000000,0.000000
claim-social-security-at-62,2067,15132074.463144,88319.762574,0.000000,0.000000,0.000000,321314.052354,134726.289032,0.000000,0.000000,0.000000,0.000000
claim-social-security-at-62,2068,15832771.861544,124045.356195,0.000000,0.000000,0.000000,340057.372075,141756.381642,0.000000,0.000000,0.000000,0.000000
claim-social-security-at-62,2069,16570474.526786,129948.987757,0.000000,0.000000,0.000000,356572.453464,147941.926528,0.000000,0.000000,0.000000,0.000000
claim-social-security-at-62,2070,17347285.142659,136268.069257,0.000000,0.000000,0.000000,373315.855627,155406.686216,0.000000,0.000000,0.000000,0.000000
claim-social-security-at-62,2071,18166227.480472,142279.171727,0.000000,0.000000,0.000000,390166.918555,161741.419418,0.000000,0.000000,0.000000,0.000000
claim-social-security-at-62,2072,19144751.781979,138768.424676,0.000000,0.000000,0.000000,406971.137324,168076.057270,0.000000,0.000000,0.000000,0.000000
leaner-retirement,2026,895584.300000,39232.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
leaner-retirement,2027,1022682.520600,40027.576000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
leaner-retirement,2028,1161886.588130,40813.950800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
leaner-retirement,2029,1324640.320241,41616.323769,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
leaner-retirement,2030,1502394.667061,42429.198597,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
leaner-retirement,2031,1697070.273736,43649.162029,395.578924,103.464952,262.477168,667.177841,367.471679,149.789795,29.987206,57.854462,39.109789
leaner-retirement,2032,1908850.955525,44687.790734,133.424976,34.769864,89.291017,225.855673,121.842971,51.429688,12.640701,20.162892,12.014879
leaner-retirement,2033,2138803.079400,46012.958113,126.208904,32.772960,84.978942,214.304386,113.425210,49.454592,14.124801,19.597182,10.383500
leaner-retirement,2034,2388357.947164,47356.182481,353.327652,91.436632,238.895839,601.557707,312.808610,140.571564,45.068909,56.757295,26.632371
leaner-retirement,2035,2659307.076155,48483.664239,60.770267,15.675079,41.196635,103.705219,53.045575,24.480826,8.580673,10.041276,4.207144
leaner-retirement,2036,2953029.744319,49908.952693,33.723829,8.671429,22.893323,57.668263,29.046023,13.744930,5.184192,5.707604,2.149260
leaner-retirement,2037,3270357.780217,51382.569815,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
leaner-retirement,2038,3613835.426696,52922.990505,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
leaner-retirement,2039,3985644.128210,54512.211968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
leaner-retirement,2040,4386622.339182,56151.327310,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
leaner-retirement,2041,4820249.633758,57843.492411,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
leaner-retirement,2042,5121446.761226,41486.784708,16055.981935,0.000000,15849.665130,40460.446626,19172.535809,10193.266236,4751.284442,4269.256735,960.017106
leaner-retirement,2043,5384514.689557,36753.717788,18184.160705,0.000000,21824.003053,55711.518413,26648.134343,14389.505286,6542.223152,5834.753998,1254.252577
leaner-retirement,2044,5653578.081379,25693.725368,14482.331961,0.000000,22316.649844,56969.129160,27360.372740,14953.085347,6689.904823,5922.063924,1216.945965
leaner-retirement,2045,5838273.890532,18001.298637,17167.609029,0.000000,34754.122213,88719.054653,42291.714286,23286.710113,10418.309712,9153.904365,1798.209664
leaner-retirement,2046,6029215.179559,18535.543014,17702.602039,0.000000,35966.140950,91813.051846,43440.894835,24098.813173,10781.638888,9402.640766,1765.710716
leaner-retirement,2047,6226642.587265,19084.046714,18251.840745,0.000000,37216.098390,95003.897575,44616.111530,24936.336744,11156.341021,9657.012608,1733.597450
leaner-retirement,2048,6454238.647209,19516.757596,18685.273073,0.000000,34872.749558,89021.882208,41495.693001,23366.195377,10453.870858,8981.608140,1541.328883
leaner-retirement,2049,6825376.756551,16855.368970,15895.234487,0.000000,15246.169116,38919.864030,18006.674707,10215.568627,4570.373287,3897.486327,639.383708
leaner-retirement,2050,7253076.236436,13147.827753,11070.381491,0.000000,10704.103998,27325.045984,12548.131501,7172.195727,3208.789736,2716.002358,425.934541
leaner-retirement,2051,7709323.333125,13653.430707,11545.758560,0.000000,11157.531531,28482.539241,12982.335234,7476.011069,3344.714575,2809.984347,421.262083
leaner-retirement,2052,8196133.195651,14171.484426,12034.329445,0.000000,11625.020400,29675.927761,13425.620765,7789.248091,3484.854608,2905.932062,416.456533
leaner-retirement,2053,8715667.054823,14702.084768,12535.987324,0.000000,12106.956790,30906.197387,13878.150708,8112.165555,3629.325602,3003.880701,411.531095
leaner-retirement,2054,9241701.607749,41637.214261,0.000000,0.000000,0.000000,152306.795503,0.000000,0.000000,0.000000,0.000000,0.000000
leaner-retirement,2055,9800614.494708,44364.267451,0.000000,0.000000,0.000000,163038.962106,0.000000,0.000000,0.000000,0.000000,0.000000
leaner-retirement,2056,10373416.167092,67486.335020,0.000000,0.000000,0.000000,173736.169117,77284.090462,0.000000,0.000000,0.000000,0.000000
leaner-retirement,2057,10981220.127789,71866.081158,0.000000,0.000000,0.000000,185917.443702,82114.183069,0.000000,0.000000,0.000000,0.000000
leaner-retirement,2058,11626363.594937,76440.116614,0.000000,0.000000,0.000000,198914.042255,86850.629550,0.000000,0.000000,0.000000,0.000000
leaner-retirement,2059,12311151.308388,81404.495564,0.000000,0.000000,0.000000,212774.018219,92248.396177,0.000000,0.000000,0.000000,0.000000
leaner-retirement,2060,13038461.864700,86386.676222,0.000000,0.000000,0.000000,226374.007012,97962.550386,0.000000,0.000000,0.000000,0.000000
leaner-retirement,2061,13810737.584254,91994.045102,0.000000,0.000000,0.000000,242036.641011,104008.585612,0.000000,0.000000,0.000000,0.000000
leaner-retirement,2062,14631460.727792,97426.343765,0.000000,0.000000,0.000000,257249.395989,109833.066406,0.000000,0.000000,0.000000,0.000000
leaner-retirement,2063,15503255.520594,103729.651549,0.000000,0.000000,0.000000,274897.010804,116558.412223,0.000000,0.000000,0.000000,0.000000
leaner-retirement,2064,16430178.936703,109750.554006,0.000000,0.000000,0.000000,291820.358031,122962.539675,0.000000,0.000000,0.000000,0.000000
leaner-retirement,2065,17415761.180950,116268.480844,0.000000,0.000000,0.000000,309579.162714,130420.071322,0.000000,0.000000,0.000000,0.000000
leaner-retirement,2066,18464220.293790,122885.517235,0.000000,0.000000,0.000000,328175.411030,137418.738399,0.000000,0.000000,0.000000,0.000000
leaner-retirement,2067,19587000.080894,113095.547010,0.000000,0.000000,0.000000,345063.269773,144696.507110,0.000000,0.000000,0.000000,0.000000
leaner-retirement,2068,20745982.397436,150198.482487,0.000000,0.000000,0.000000,365191.960509,152246.851238,0.000000,0.000000,0.000000,0.000000
leaner-retirement,2069,21979910.476839,157059.616431,0.000000,0.000000,0.000000,382927.717608,158890.148149,0.000000,0.000000,0.000000,0.000000
leaner-retirement,2070,23293824.633379,164382.298379,0.000000,0.000000,0.000000,400908.671304,166907.326244,0.000000,0.000000,0.000000,0.000000
leaner-retirement,2071,24693966.974885,171390.364052,0.000000,0.000000,0.000000,419005.243273,173710.851928,0.000000,0.000000,0.000000,0.000000
leaner-retirement,2072,26249862.168312,162883.800727,0.000000,0.000000,0.000000,437051.508701,180514.275207,0.000000,0.000000,0.000000,0.000000
sell-the-house-at-retirement,2026,895584.300000,39232.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
